Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,35,CATTLE,4/1/2012,6/3/2012,ACTIVE,100,74
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,94,CATTLE,5/1/2012,11/1/2012,ACTIVE,100,572
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,23,CATTLE,5/1/2012,11/2/2012,ACTIVE,100,141
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,1,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,4
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,17,CATTLE,5/5/2012,10/31/2012,ACTIVE,100,101
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00842,WAGNER,29,YRLING CATTLE,5/1/2012,10/30/2012,ACTIVE,100,174
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00842,WAGNER,30,CATTLE,5/1/2012,10/31/2012,ACTIVE,100,181
LLMTC02000,MILES CITY FIELD OFFICE,2502402,03/01/2012,02/28/2022,,00654,PETERSON - WCSGD,1,HORSE,3/1/2012,2/28/2013,CUSTODIAL,100,9
LLMTC02000,MILES CITY FIELD OFFICE,2502402,03/01/2012,02/28/2022,,00654,PETERSON - WCSGD,1,CATTLE,3/1/2002,2/28/2003,CUSTODIAL,100,10
LLMTC02000,MILES CITY FIELD OFFICE,2502403,05/01/2014,05/01/2019,,00655,MESERVE LEASE,4,CATTLE,3/1/2014,2/28/2015,CUSTODIAL,100,32
LLMTC02000,MILES CITY FIELD OFFICE,2502403,05/01/2014,05/01/2019,,00655,MESERVE LEASE,147,CATTLE,5/15/2014,10/15/2014,ACTIVE,77,573
LLMTC02000,MILES CITY FIELD OFFICE,2502404,03/01/2009,02/28/2019,,00656,ROWTON,5,CATTLE,3/1/2000,2/28/2001,ACTIVE,100,60
LLMTC02000,MILES CITY FIELD OFFICE,2502404,03/01/2009,02/28/2019,,00656,ROWTON,51,CATTLE,5/1/2000,11/3/2000,ACTIVE,37,116
LLMTC02000,MILES CITY FIELD OFFICE,2502405,03/01/2015,02/28/2018,,00786,SOUTH,101,CATTLE,4/15/2015,10/27/2015,ACTIVE,66,430
LLMTC02000,MILES CITY FIELD OFFICE,2502406,03/01/2008,02/28/2018,,00837,BEAR SKULL CREEK,1,CATTLE,3/1/1999,2/28/2000,CUSTODIAL,100,10
LLMTC02000,MILES CITY FIELD OFFICE,2502407,03/01/2008,02/28/2018,,00837,BEAR SKULL CREEK,1,CATTLE,3/1/1999,2/28/2000,CUSTODIAL,100,10
LLMTC02000,MILES CITY FIELD OFFICE,2502408,03/01/2008,02/28/2018,,00838,BOBCAT CREEK,17,CATTLE,3/1/1999,2/25/2000,ACTIVE,100,202
LLMTC02000,MILES CITY FIELD OFFICE,2502409,03/01/2008,02/28/2018,,00839,HAY CREEK,19,CATTLE,3/1/1999,2/28/2000,CUSTODIAL,100,226
LLMTC02000,MILES CITY FIELD OFFICE,2502410,03/01/2012,02/28/2015,,00433,BLEVINS ALLOTMENT,12,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,144
LLMTC02000,MILES CITY FIELD OFFICE,2502411,03/01/2013,02/28/2018,,00800,ZIMMERMAN,2,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,10
LLMTC02000,MILES CITY FIELD OFFICE,2502413,03/01/2008,02/28/2018,,00846,LITTLE PINE,7,CATTLE,3/1/2008,2/28/2009,CUSTODIAL,100,88
LLMTC02000,MILES CITY FIELD OFFICE,2502414,03/01/2014,02/28/2024,,00845,KAMPF,1,CATTLE,3/1/2014,2/28/2015,CUSTODIAL,100,14
LLMTC02000,MILES CITY FIELD OFFICE,2502415,03/01/2008,02/28/2018,HOLD,00848,HAXTON,1,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,9
LLMTC02000,MILES CITY FIELD OFFICE,2502416,03/01/2012,02/28/2022,,01321,KIRBY HOME,1,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,8
LLMTC02000,MILES CITY FIELD OFFICE,2502417,03/01/2013,02/28/2023,,00234,LOOMIS COMMON,3,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,40
LLMTC02000,MILES CITY FIELD OFFICE,2502419,03/01/2014,02/28/2024,,00893,LAGGE/FORGAARD,13,CATTLE,3/1/2014,2/28/2015,CUSTODIAL,100,156
LLMTC02000,MILES CITY FIELD OFFICE,2502421,03/01/2014,02/28/2024,,00853,J&K,1,CATTLE,3/1/2014,2/28/2015,CUSTODIAL,100,13
LLMTC02000,MILES CITY FIELD OFFICE,2502421,03/01/2014,02/28/2024,,00853,J&K,242,CATTLE,6/1/2014,12/15/2014,ACTIVE,60,945
LLMTC02000,MILES CITY FIELD OFFICE,2502422,03/01/2015,02/28/2025,,00856,BARNEY PINNACLE,6,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,69
LLMTC02000,MILES CITY FIELD OFFICE,2502422,03/01/2015,02/28/2025,,00856,BARNEY PINNACLE,4,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,46
LLMTC02000,MILES CITY FIELD OFFICE,2502423,01/20/2011,01/01/2016,,00857,MIDDLE FORK,20,CATTLE,3/1/2011,2/28/2012,CUSTODIAL,100,246
LLMTC02000,MILES CITY FIELD OFFICE,2502424,05/01/2014,11/30/2016,,00647,BERRY,60,CATTLE,5/1/2016,12/1/2016,ACTIVE,36,153
LLMTC02000,MILES CITY FIELD OFFICE,2502490,04/01/2014,03/31/2019,,01214,PIPELINE PASTURE,13,CATTLE,6/1/2014,9/26/2014,ACTIVE,100,50
LLMTC02000,MILES CITY FIELD OFFICE,2502491,03/01/2010,02/28/2020,,00979,WANG PASTURE,25,CATTLE,6/15/2010,9/2/2010,ACTIVE,100,66
LLMTC02000,MILES CITY FIELD OFFICE,2502492,03/01/2011,02/28/2021,,00980,COUNTY PASTURE,2,CATTLE,3/1/2011,2/28/2012,CUSTODIAL,100,27
LLMTC02000,MILES CITY FIELD OFFICE,2502492,03/01/2011,02/28/2021,,00980,COUNTY PASTURE,1,CATTLE,3/1/2011,2/28/2012,CUSTODIAL,100,7
LLMTC02000,MILES CITY FIELD OFFICE,2502492,03/01/2011,02/28/2021,,00981,SECTION 10,57,CATTLE,6/1/2011,8/27/2011,CUSTODIAL,100,72
LLMTC02000,MILES CITY FIELD OFFICE,2502492,03/01/2011,02/28/2021,,01214,PIPELINE PASTURE,11,CATTLE,6/1/2011,9/25/2011,ACTIVE,100,42
LLMTC02000,MILES CITY FIELD OFFICE,2502493,01/29/2014,07/29/2015,,00858,ROCKY TOP,45,CATTLE,8/1/2014,9/29/2014,ACTIVE,100,89
LLMTC02000,MILES CITY FIELD OFFICE,2502501,01/01/2011,12/31/2015,,01002,M E UNIT,40,CATTLE,6/15/2010,10/31/2010,ACTIVE,33,60
LLMTC02000,MILES CITY FIELD OFFICE,2502502,03/01/2009,02/28/2019,,03235,NORTH SANTA FE,3,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,38
LLMTC02000,MILES CITY FIELD OFFICE,2502503,03/01/2008,02/28/2018,,00706,BEACH,2,CATTLE,3/1/1999,2/28/2000,ACTIVE,100,24
