Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
CO,LLCOF02000,ROYAL GORGE FO,05152,HERRING CREEK,Y,,880,AMP IMPLEMENTED,09/29/2009,IMPROVE CATEGORY,0505341,67,0,0
CO,LLCOF02000,ROYAL GORGE FO,05154,MONUMENT CREEK,Y,,291,,,CUSTODIAL CATEGORY,0505495,6,10,0
CO,LLCOF02000,ROYAL GORGE FO,05155,RYE SLOUGH NORTH,Y,,480,AMP IMPLEMENTED,09/01/1982,MAINTAIN CATEGORY,0504978,56,0,0
CO,LLCOF02000,ROYAL GORGE FO,05156,U LONG GULCH,Y,,40,,,CUSTODIAL CATEGORY,0504978,11,0,0
CO,LLCOF02000,ROYAL GORGE FO,05157,DICKS CREEK,Y,,42,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05158,GREEN MT. GULCH,Y,,941,AMP IMPLEMENTED,08/19/2008,IMPROVE CATEGORY,0504554,58,0,0
CO,LLCOF02000,ROYAL GORGE FO,05159,WILBUR ALLOTMENT,Y,,"2,198",AMP IMPLEMENTED,12/04/1997,IMPROVE CATEGORY,0505252,131,0,0
CO,LLCOF02000,ROYAL GORGE FO,05162,SOAPY HILL,Y,,"1,336",AMP IMPLEMENTED,12/09/2013,IMPROVE CATEGORY,0505453,45,0,0
CO,LLCOF02000,ROYAL GORGE FO,05163,PARK MOUNTAIN,Y,,780,,,CUSTODIAL CATEGORY,0501978,8,0,0
CO,LLCOF02000,ROYAL GORGE FO,05164,MICANITE,Y,,"1,945",AMP IMPLEMENTED,12/14/1994,IMPROVE CATEGORY,0505271,204,209,0
CO,LLCOF02000,ROYAL GORGE FO,05168,FEAR CANYON,Y,,912,,,CUSTODIAL CATEGORY,0505375,19,54,0
CO,LLCOF02000,ROYAL GORGE FO,05169,PRUDEN CREEK,Y,,320,,,CUSTODIAL CATEGORY,0505268,37,0,
CO,LLCOF02000,ROYAL GORGE FO,05173,LONG HOLLOW WEST,Y,,913,,,CUSTODIAL CATEGORY,0504848,97,0,0
CO,LLCOF02000,ROYAL GORGE FO,05177,STOUT CREEK,Y,,120,,,CUSTODIAL CATEGORY,0505319,12,0,0
CO,LLCOF02000,ROYAL GORGE FO,05178,COW MTN ALLOTMENT,Y,,125,,,CUSTODIAL CATEGORY,0504865,8,6,0
CO,LLCOF02000,ROYAL GORGE FO,05179,WEST BOX CANYON,Y,,"5,395",AMP IMPLEMENTED,09/02/1999,IMPROVE CATEGORY,0502003,133,83,0
CO,LLCOF02000,ROYAL GORGE FO,05180,SALT WORKS PASTURE,Y,,160,,,CUSTODIAL CATEGORY,0505357,13,17,
CO,LLCOF02000,ROYAL GORGE FO,05181,WALL MOUNTAIN,Y,,120,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05185,EAST PREACHER GULCH,Y,,40,AMP IMPLEMENTED,04/01/1999,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05186,CROWN POINT ALLOT,Y,,"2,276",AMP IMPLEMENTED,09/20/1982,IMPROVE CATEGORY,0505259,51,0,0
CO,LLCOF02000,ROYAL GORGE FO,05188,RED GULCH,Y,,"3,430",AMP IMPLEMENTED,01/01/1983,IMPROVE CATEGORY,0501895,246,0,0
CO,LLCOF02000,ROYAL GORGE FO,05189,BOOGER RED HILL,Y,,640,AMP IMPLEMENTED,07/12/2002,IMPROVE CATEGORY,0505362,114,0,0
CO,LLCOF02000,ROYAL GORGE FO,05190,TALLAHASSEE RD,Y,,625,,,CUSTODIAL CATEGORY,0505272,17,21,0
CO,LLCOF02000,ROYAL GORGE FO,05191,EAST ELDRED,Y,,360,,,CUSTODIAL CATEGORY,0505364,1,2,
CO,LLCOF02000,ROYAL GORGE FO,05192,MUD GULCH,Y,,"1,165",AMP IMPLEMENTED,01/07/1999,MAINTAIN CATEGORY,0501895,99,0,0
